accession	species	gene	locality	specimen_voucher	isolate	paper_doi	notes
AB988582	kurodai	RAG2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988583	kurodai	RAG2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988499	kurodai	Ptr	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988500	kurodai	Ptr	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988501	kurodai	Ptr	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988417	kurodai	RYR3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988418	kurodai	RYR3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988419	kurodai	RYR3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988335	kurodai	myh6	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988336	kurodai	myh6	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988337	kurodai	myh6	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB753778	kurodai	ND5	Japan: Mie, Suzuka city	KPM-NI:31165	haplotype:OR01	Mukai et al. 2012 Bull.Biogeogr.Soc.Jpn.67:15-24	向井ら 2012; 鈴鹿ため池
AB753779	kurodai	ND5	Japan: Mie, Suzuka city	KPM-NI:31160	haplotype:OR02	Mukai et al. 2012 Bull.Biogeogr.Soc.Jpn.67:15-24	向井ら 2012; 鈴鹿ため池
AB753780	kurodai	ND5	Japan: Mie, Suzuka city	KPM-NI:31172	haplotype:OR03	Mukai et al. 2012 Bull.Biogeogr.Soc.Jpn.67:15-24	向井ら 2012; 鈴鹿ため池
LC858940	kurodai	cytb	Japan: Tokyo	CBM:ZF24322	KN1468	10.1111/mec.70059	Tsuji et al. 2025; 環境DNA比較系統地理; 採集日2020-06-29
LC633732	kurodai	cytb	Japan: Tokyo		D403(BLIP200131231)		Nakamura et al. 未公刊
LC606657	kurodai	12S	Japan: Tokyo	personal:Yo Yamasaki	D403(BLIP200131231)		Nakamura et al. 未公刊
AB988764	sp.OR	CO1	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988765	sp.OR	CO1	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988798	sp.OR	CO1	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988819	sp.OR	CO1	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988822	sp.OR	CO1	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988920	sp.OR	cytb	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988921	sp.OR	cytb	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988954	sp.OR	cytb	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988975	sp.OR	cytb	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988978	sp.OR	cytb	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988842	sp.OR	ND5	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988843	sp.OR	ND5	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988876	sp.OR	ND5	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 両側回遊型
AB988897	sp.OR	ND5	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988900	sp.OR	ND5	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 陸封型
AB988681	sp.OR	E3	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988682	sp.OR	E3	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988708	sp.OR	E3	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988709	sp.OR	E3	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988732	sp.OR	E3	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988733	sp.OR	E3	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988737	sp.OR	E3	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988738	sp.OR	E3	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988739	sp.OR	E3	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988741	sp.OR	E3	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988599	sp.OR	sreb2	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988600	sp.OR	sreb2	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988626	sp.OR	sreb2	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988627	sp.OR	sreb2	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988650	sp.OR	sreb2	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988651	sp.OR	sreb2	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988655	sp.OR	sreb2	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988656	sp.OR	sreb2	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988657	sp.OR	sreb2	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988659	sp.OR	sreb2	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
