specimen_id	taxon_genbank	taxon_current	morphotype	life_history	locality	prefecture	river_system	habitat_type	collection_date	specimen_voucher	body_size_mm	egg_size_mm	otolith_srca	sex	cited_in	figure_table	notes
MiFish-LC713503	Rhinogobius sp. OR	sp.OR			Japan: Fukuoka, Itoshima, Zuibaiji-gawa River	Fukuoka				CBM:ZF:19455-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2017-09-20; 九州
MiFish-LC713504	Rhinogobius sp. OR	sp.OR			Japan: Fukuoka, Itoshima, Zuibaiji-gawa River	Fukuoka				CBM:ZF:19456-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2017-09-20; 九州
MiFish-LC713505	Rhinogobius sp. OR	sp.OR			Japan: Fukuoka, Itoshima, Raizan-gawa River	Fukuoka				CBM:ZF:19459-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2017-09-26; 九州
MiFish-LC713506	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Isumi, Ogiwara, Kamioki-gawa River	Chiba				CBM:ZF:20174					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2015-11-12
MiFish-LC715467	Rhinogobius sp. OR	sp.OR			Japan: Toyama, Joganji-gawa River	Toyama				CBM:ZF:21074					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2021-03-11; 日本海側
MiFish-LC719265	Rhinogobius sp. OR	sp.OR			Japan: Tokushima, Naruto, Bando-kamohara	Tokushima				CBM:ZF:19274					Miya & Sado (未公刊)		MiFish参照配列; 1082bp; 採集2018-08-25; 四国
MiFish-LC719266	Rhinogobius sp. OR	sp.OR			Japan: Tokushima, Naruto, Bando-kamohara	Tokushima				CBM:ZF:19293					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2018-08-25; 四国
MiFish-LC722577	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Ichihara, Anesaki, irrigation canal	Chiba				CBM:ZF:22322					Miya & Sado (未公刊)		MiFish参照配列; 1082bp; 採集2022-06-27
MiFish-LC722578	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Ichihara, Anesaki, Shiitsu-gawa River	Chiba				CBM:ZF:22326					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2022-06-27
MiFish-LC762645	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Kimitsu, trib. Sasa-gawa River	Chiba				CBM:ZF:19754-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2017-07-28
MiFish-LC834786	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Katori, Kozaki	Chiba				CBM:ZF:23537-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2021-10-28
MiFish-LC848703	Rhinogobius sp. OR	sp.OR			Japan: Shimane, Gono-kawa River	Shimane				CBM:ZF:22367					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2022-06-03; 日本海側
